age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?
19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,False
32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,False
19.0,3.0,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,False
43.0,40.0,"jianchuan, yunnan, china",bai1,bai,female,28,china,False
34.0,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,False
26.0,4.0,"kolkata, india",bengali14,bengali,male,1973,india,False
29.0,4.0,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,False
61.0,12.0,"kolkata, india",bengali9,bengali,female,987,india,False
22.0,12.0,"hong kong, china",cantonese1,cantonese,female,45,china,False
25.0,3.0,"xiamen, fujian, china",cantonese10,cantonese,female,505,china,False
22.0,3.0,"hong kong, china",cantonese11,cantonese,female,544,china,False
20.0,4.0,"macau, china",cantonese12,cantonese,female,602,china,False
21.0,3.0,"hong kong, china",cantonese13,cantonese,female,730,china,False
19.0,3.0,"hong kong, china",cantonese14,cantonese,female,742,china,False
31.0,12.0,"qingyuan, guangdong, china",cantonese15,cantonese,female,862,china,False
29.0,3.0,"hong kong, china",cantonese16,cantonese,female,874,china,False
26.0,3.0,"hong kong, china",cantonese17,cantonese,female,878,china,False
19.0,3.0,"hong kong, china",cantonese18,cantonese,male,885,china,False
28.0,7.0,"hong kong, china",cantonese19,cantonese,female,1247,china,False
20.0,13.0,"hong kong, china",cantonese2,cantonese,male,46,china,False
18.0,3.0,"hong kong, china",cantonese20,cantonese,male,1480,china,False
18.0,4.0,"hong kong, china",cantonese21,cantonese,female,1558,china,False
30.0,3.0,"hong kong, china",cantonese22,cantonese,female,1974,china,False
33.0,6.0,"hong kong, china",cantonese23,cantonese,male,1975,china,False
22.0,6.0,"hong kong, china",cantonese3,cantonese,male,47,china,False
29.0,13.0,"fuzhou, fujian, china",cantonese4,cantonese,female,48,china,False
18.0,14.0,"hong kong, china",cantonese5,cantonese,male,49,china,False
25.0,5.0,"hong kong, china",cantonese6,cantonese,male,462,china,False
31.0,4.0,"hong kong, china",cantonese7,cantonese,male,494,china,False
23.0,2.0,"hong kong, china",cantonese8,cantonese,female,498,china,False
22.0,7.0,"hong kong, china",cantonese9,cantonese,male,502,china,False
42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa,False
35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa,False
23.0,0.0,"miami, florida, usa",english100,english,female,63,usa,False
22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa,False
21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa,False
18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa,False
39.0,0.0,"los angeles, california, usa",english106,english,female,408,usa,False
19.0,0.0,"chicago, illinois, usa",english107,english,male,416,usa,False
26.0,0.0,"concord, new hampshire, usa",english109,english,female,420,usa,False
21.0,0.0,"bombay, india",english111,english,male,426,india,False
38.0,0.0,"birmingham 2, alabama, usa",english114,english,female,442,usa,False
56.0,0.0,"atlanta, georgia, usa",english116,english,male,444,usa,False
60.0,0.0,"elmore, alabama, usa",english117,english,female,445,usa,False
19.0,0.0,"akron, ohio, usa",english118,english,male,446,usa,False
21.0,0.0,"waconia, minnesota, usa",english121,english,male,465,usa,False
28.0,0.0,"riverside, california, usa",english123,english,female,469,usa,False
38.0,0.0,"brooklyn, new york, usa",english124,english,male,480,usa,False
34.0,0.0,"cincinnati, ohio, usa",english126,english,female,487,usa,False
39.0,0.0,"new britain, connecticut, usa",english127,english,male,489,usa,False
20.0,0.0,"miami, florida, usa",english128,english,female,490,usa,False
23.0,0.0,"west palm beach, florida, usa",english131,english,male,497,usa,False
36.0,0.0,"norwich, new york, usa",english133,english,female,504,usa,False
22.0,0.0,"orange beach, alabama, usa",english135,english,male,507,usa,False
26.0,0.0,"charleston, west virginia, usa",english137,english,male,509,usa,False
25.0,0.0,"palmer, alaska, usa",english138,english,female,510,usa,False
20.0,0.0,"providence, rhode island, usa",english139,english,male,511,usa,False
19.0,0.0,"avon, new york, usa",english142,english,male,517,usa,False
42.0,0.0,"minneapolis, minnesota, usa",english143,english,male,518,usa,False
22.0,0.0,"blytheville, arkansas, usa",english146,english,male,522,usa,False
40.0,0.0,"merced, california, usa",english147,english,female,523,usa,False
18.0,0.0,"lawrenceville, georgia, usa",english149,english,male,526,usa,False
7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa,False
31.0,0.0,"brownsville, kentucky, usa",english150,english,male,527,usa,False
18.0,0.0,"baltimore, maryland, usa",english151,english,male,528,usa,False
35.0,0.0,"oakland, california, usa",english155,english,male,535,usa,False
35.0,0.0,"fort worth, texas, usa",english157,english,male,538,usa,False
18.0,0.0,"washington, district of columbia, usa",english158,english,female,540,usa,False
21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa,False
21.0,0.0,"redwood falls, minnesota, usa",english160,english,female,542,usa,False
