age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?
22, 12,"hong kong, china (map)",cantonese1,cantone,female ,45,china,FALSE
20, 13,"hong kong, china (map)",cantonese2,cantone,male ,46,china,FALSE
22, 6,"hong kong, china (map)",cantonese3,cantone,male ,47,china,FALSE
29, 13,"fuzhou, fujian, china (map)",cantonese4,cantone,female ,48,china,FALSE
18, 14,"hong kong, china (map)",cantonese5,cantone,male ,49,china,FALSE
25, 5,"hong kong, china (map)",cantonese6,cantone,male ,462,china,FALSE
31, 4,"hong kong, china (map)",cantonese7,cantone,male ,494,china,FALSE
23, 2,"hong kong, china (map)",cantonese8,cantone,female ,498,china,FALSE
22, 7,"hong kong, china (map)",cantonese9,cantone,male ,502,china,FALSE
25, 3,"xiamen, fujian, china (map)",cantonese10,cantone,female ,505,china,FALSE
22, 3,"hong kong, china (map)",cantonese11,cantone,female ,544,china,FALSE
20, 4,"macau, china (map)",cantonese12,cantone,female ,602,china,FALSE
21, 3,"hong kong, china (map)",cantonese13,cantone,female ,730,china,FALSE
19, 3,"hong kong, china (map)",cantonese14,cantone,female ,742,china,FALSE
31, 12,"qingyuan, guangdong, china (map)",cantonese15,cantone,female ,862,china,FALSE
29, 3,"hong kong, china (map)",cantonese16,cantone,female ,874,china,FALSE
26, 3,"hong kong, china (map)",cantonese17,cantone,female ,878,china,FALSE
19, 3,"hong kong, china (map)",cantonese18,cantone,male ,885,china,FALSE
28, 7,"hong kong, china (map)",cantonese19,cantone,female ,1247,china,FALSE
18, 3,"hong kong, china (map)",cantonese20,cantone,male ,1480,china,FALSE
18, 4,"hong kong, china (map)",cantonese21,cantone,female ,1558,china,FALSE
30, 3,"hong kong, china (map)",cantonese22,cantone,female ,1974,china,FALSE
33, 6,"hong kong, china (map)",cantonese23,cantone,male ,1975,china,FALSE
23, 3,"hong kong, china (map)",cantonese24,cantone,female ,2223,china,FALSE
23, 3,"hong kong, china (map)",cantonese25,cantone,male ,2234,china,FALSE
26, 6,"hong kong, china (map)",cantonese26,cantone,female ,2320,china,FALSE
20, 15,"ho chi minh city, vietnam (map)",cantonese27,cantone,male ,2330,china,FALSE
25, 7,"guangzhou, china (map)",cantonese28,cantone,female ,2408,china,FALSE
20, 6,"hong kong, china (map)",cantonese29,cantone,male ,2481,china,FALSE
25, 6,"guangzhou, china (map)",cantonese30,cantone,female ,2556,china,FALSE
21, 6,"guangzhou, guangdong, china (map)",cantonese31,cantone,male ,2565,china,FALSE
26, 7,"fuzhou, fujian, china (map)",cantonese32,cantone,female ,2704,china,FALSE
25, 7,"hong kong, china (map)",cantonese33,cantone,female ,2706,china,FALSE
