age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?
42, 0,"pittsburgh, pennsylvania, usa (map)",english1,english,male ,61,usa,FALSE
30, 0,"birmingham, uk (map)",english2,english,female ,77,uk,FALSE
26, 0,"brisbane, australia (map)",english3,english,female ,88,australia,FALSE
53, 0,"saint anne's bay, jamaica (map)",english4,english,female ,99,"jamaica,usa",FALSE
62, 0,"fairfax, virginia, usa (map)",english5,english,male ,110,usa,FALSE
45, 0,"brooklyn, new york, usa (map)",english6,english,female ,121,usa,FALSE
52, 0,"macon, mississippi, usa (map)",english7,english,male ,132,usa,FALSE
21, 0,"perth, australia (map)",english8,english,female ,143,"australia,usa",FALSE
48, 0,"carthage, texas, usa (map)",english9,english,female ,154,usa,FALSE
35, 0,"davenport, iowa, usa (map)",english10,english,female ,62,usa,FALSE
35, 0,"staffordshire, uk (map)",english11,english,female ,68,uk,FALSE
71, 0,"leicester, uk (map)",english12,english,female ,69,uk,FALSE
69, 0,"henley on thames, oxfordshire, uk (map)",english13,english,male ,70,uk,FALSE
40, 0,"belfast, northern ireland, uk (map)",english14,english,male ,71,"uk,usa",FALSE
"7,", 0,"norton, virginia, usa (map)",english15,english,emale ,72,usa,FALSE
21, 0,"wise, virginia, usa (map)",english16,english,male ,73,usa,FALSE
79, 0,"darwin va, virginia, usa (map)",english17,english,male ,74,usa,FALSE
39, 0,"dickenson county, virginia, usa (map)",english18,english,female ,75,usa,FALSE
53, 0,"louisville, kentucky, usa (map)",english19,english,male ,76,usa,FALSE
27, 0,"mt. holly, north carolina, usa (map)",english20,english,female ,78,usa,FALSE
37, 0,"boston, massachusetts, usa (map)",english21,english,female ,79,usa,FALSE
25, 0,"panama city, panama (map)",english22,english,female ,80,usa,FALSE
43, 0,"englewood, tennessee, usa (map)",english23,english,male ,81,usa,FALSE
37, 0,"glasgow, scotland, uk (map)",english24,english,male ,82,"uk,usa",FALSE
57, 0,"atlanta, georgia, usa (map)",english25,english,male ,83,usa,FALSE
71, 0,"smith island, maryland, usa (map)",english26,english,male ,84,usa,FALSE
37, 0,"smith island, maryland, usa (map)",english27,english,female ,85,usa,FALSE
54, 0,"toronto, ontario, canada (map)",english28,english,male ,86,canada,FALSE
54, 0,"lindsay, ontario, canada (map)",english29,english,female ,87,canada,FALSE
30, 0,"st. mary's, ontario, canada (map)",english30,english,female ,89,canada,FALSE
31, 0,"st. augustine, trinidad (map)",english31,english,female ,90,"trinidad,usa",FALSE
50, 0,"fresno, california, usa (map)",english32,english,female ,91,usa,FALSE
21, 0,"san diego, california, usa (map)",english33,english,male ,92,usa,FALSE
18, 0,"ronkonkoma, new york, usa (map)",english34,english,female ,93,usa,FALSE
60, 0,"milwaukee, wisconsin, usa (map)",english35,english,female ,94,usa,FALSE
60, 0,"arcadia, wisconsin, usa (map)",english36,english,male ,95,usa,FALSE
28, 0,"yole, india (map)",english37,english,female ,96,usa,FALSE
27, 0,"littlehampton, uk (map)",english38,english,male ,97,uk,FALSE
59, 0,"new orleans, louisiana, usa (map)",english39,english,female ,98,usa,FALSE
53, 0,"dudley, uk (map)",english40,english,male ,100,uk,FALSE
44, 0,"wellington, new zealand (map)",english41,english,male ,101,new zealand,FALSE
65, 0,"nigel, south africa (map)",english42,english,male ,102,south africa,FALSE
47, 0,"vancouver, british columbia, canada (map)",english43,english,male ,103,canada,FALSE
63, 0,"winston salem, north carolina, usa (map)",english44,english,female ,104,usa,FALSE
